"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Afghanistan","Eritrea","2009","1","1","1","1"
"Afghanistan","Iraq","2009","6","6","6","6"
"Afghanistan","Islamic Rep. of Iran","2009","30","30","30","30"
"Albania","Algeria","2009","0","0","0","0"
"Albania","China","2009","6","6","6","6"
"Albania","Czech Rep.","2009","2","2","2","2"
"Albania","Egypt","2009","1","1","1","1"
"Albania","Iraq","2009","5","5","5","5"
"Albania","Montenegro","2009","1","1","1","1"
"Albania","Serbia (and Kosovo: S/RES/1244 (1999))","2009","48","48","48","48"
"Albania","State of Palestine","2009","3","3","3","3"
"Albania","Turkey","2009","3","3","3","3"
"Albania","Uzbekistan","2009","1","1","1","1"
"Algeria","Angola","2009","3","3","3","3"
"Algeria","Burundi","2009","1","1","1","1"
"Algeria","Cameroon","2009","6","6","6","6"
"Algeria","Central African Rep.","2009","1","1","1","1"
"Algeria","Chad","2009","1","1","1","1"
"Algeria","Congo","2009","6","6","6","6"
"Algeria","Côte d'Ivoire","2009","17","17","17","17"
"Algeria","Dem. Rep. of the Congo","2009","73","73","73","73"
"Algeria","Ethiopia","2009","1","1","1","1"
"Algeria","Iraq","2009","3","3","3","3"
"Algeria","Liberia","2009","7","7","7","7"
"Algeria","Libya","2009","6","6","6","6"
"Algeria","Somalia","2009","5","5","5","5"
"Algeria","State of Palestine","2009","4006","1","4006","1"
"Algeria","Togo","2009","1","1","1","1"
"Algeria","Western Sahara","2009","90000","90000","90000","90000"
"Angola","Algeria","2009","1","0","1","0"
"Angola","Burundi","2009","11","0","11","0"
"Angola","Central African Rep.","2009","5","0","5","0"
"Angola","Chad","2009","132","8","132","8"
"Angola","Congo","2009","43","0","43","0"
"Angola","Côte d'Ivoire","2009","187","123","187","123"
"Angola","Cuba","2009","2","0","2","0"
"Angola","Dem. Rep. of the Congo","2009","13364","4500","13364","4500"
"Angola","Eritrea","2009","5","0","5","0"
"Angola","Guinea","2009","20","10","20","10"
"Angola","Guinea-Bissau","2009","2","0","2","0"
"Angola","Haiti","2009","1","1","1","1"
"Angola","Iraq","2009","2","0","2","0"
"Angola","Liberia","2009","73","0","73","0"
"Angola","Mauritania","2009","64","40","64","40"
"Angola","Rwanda","2009","422","20","422","20"
"Angola","Sierra Leone","2009","216","40","216","40"
"Angola","Somalia","2009","35","0","35","0"
"Angola","South Africa","2009","2","0","2","0"
"Angola","Sudan","2009","135","77","135","77"
"Angola","Uganda","2009","1","0","1","0"
"Angola","United Rep. of Tanzania","2009","5","0","5","0"
"Angola","Western Sahara","2009","5","5","5","5"
"Angola","Zambia","2009","1","0","1","0"
"Argentina","Albania","2009","25","1","25","1"
"Argentina","Algeria","2009","45","","45","0"
"Argentina","Angola","2009","14","","14","0"
"Argentina","Armenia","2009","111","5","111","5"
"Argentina","Bangladesh","2009","11","","11","0"
"Argentina","Belarus","2009","1","","1","0"
"Argentina","Bolivia (Plurinational State of)","2009","3","","3","0"
"Argentina","Bosnia and Herzegovina","2009","6","1","6","1"
"Argentina","Bulgaria","2009","2","","2","0"
"Argentina","Burundi","2009","6","3","6","3"
"Argentina","Cameroon","2009","5","1","5","1"
"Argentina","Central African Rep.","2009","2","","2","0"
"Argentina","Chad","2009","1","","1","0"
"Argentina","Chile","2009","335","","335","0"
"Argentina","Colombia","2009","381","42","381","42"
"Argentina","Congo","2009","9","2","9","2"
"Argentina","Costa Rica","2009","6","","6","0"
"Argentina","Côte d'Ivoire","2009","22","14","22","14"
"Argentina","Croatia","2009","2","","2","0"
"Argentina","Cuba","2009","340","18","340","18"
"Argentina","Dem. Rep. of the Congo","2009","6","","6","0"
"Argentina","Dominican Rep.","2009","2","","2","0"
"Argentina","Ecuador","2009","12","","12","0"
"Argentina","Eritrea","2009","2","2","2","2"
"Argentina","Ethiopia","2009","5","2","5","2"
"Argentina","Gambia","2009","1","","1","0"
"Argentina","Georgia","2009","5","","5","0"
"Argentina","Ghana","2009","26","14","26","14"
"Argentina","Guatemala","2009","1","","1","0"
"Argentina","Guinea","2009","6","6","6","6"
"Argentina","Guinea-Bissau","2009","18","","18","0"
"Argentina","Haiti","2009","43","27","43","27"
"Argentina","India","2009","37","4","37","4"
"Argentina","Iraq","2009","29","5","29","5"
"Argentina","Islamic Rep. of Iran","2009","22","","22","0"
"Argentina","Italy","2009","1","","1","0"
"Argentina","Kazakhstan","2009","22","","22","0"
"Argentina","Kenya","2009","1","1","1","1"
"Argentina","Kyrgyzstan","2009","3","","3","0"
"Argentina","Lao People's Dem. Rep.","2009","0","","0","0"
"Argentina","Liberia","2009","67","26","67","26"
"Argentina","Mali","2009","14","4","14","4"
"Argentina","Mauritania","2009","1","","1","0"
"Argentina","Mexico","2009","1","","1","0"
"Argentina","Morocco","2009","2","","2","0"
"Argentina","Nicaragua","2009","2","","2","0"
"Argentina","Nigeria","2009","50","5","50","5"
"Argentina","Pakistan","2009","41","3","41","3"
"Argentina","Paraguay","2009","3","","3","0"
"Argentina","Peru","2009","588","68","588","68"
"Argentina","Romania","2009","54","","54","0"
"Argentina","Russian Federation","2009","58","16","58","16"
"Argentina","Rwanda","2009","1","","1","0"
"Argentina","Senegal","2009","59","6","59","6"
"Argentina","Serbia (and Kosovo: S/RES/1244 (1999))","2009","18","","18","0"
"Argentina","Sierra Leone","2009","63","20","63","20"
"Argentina","Somalia","2009","5","","5","0"
"Argentina","South Africa","2009","3","","3","0"
"Argentina","Sri Lanka","2009","37","2","37","2"
"Argentina","Stateless","2009","1","","1","0"
"Argentina","Sudan","2009","4","1","4","1"
"Argentina","Togo","2009","1","1","1","1"
"Argentina","Tunisia","2009","2","2","2","2"
"Argentina","Turkey","2009","10","3","10","3"
"Argentina","Turkmenistan","2009","2","","2","0"
"Argentina","Ukraine","2009","19","7","19","7"
"Argentina","United States","2009","3","","3","0"
"Argentina","Various","2009","549","16","549","16"
"Argentina","Venezuela (Bolivarian Republic of)","2009","1","","1","0"
"Argentina","Viet Nam","2009","0","","0","0"
"Argentina","Zimbabwe","2009","2","","2","0"
"Armenia","Azerbaijan","2009","2681","2375","2681","2375"
"Armenia","Ethiopia","2009","1","0","1","0"
"Armenia","Georgia","2009","8","8","8","8"
"Armenia","Iraq","2009","870","870","870","870"
"Armenia","Islamic Rep. of Iran","2009","22","22","22","22"
"Armenia","Israel","2009","5","0","5","0"
"Armenia","Kazakhstan","2009","1","0","1","0"
"Armenia","Lebanon","2009","14","0","14","0"
"Armenia","Russian Federation","2009","1","1","1","1"
"Armenia","Turkey","2009","4","4","4","4"
"Australia","Afghanistan","2009","5664","","5664","0"
"Australia","Albania","2009","49","","49","0"
"Australia","Algeria","2009","32","","32","0"
"Australia","Angola","2009","5","","5","0"
"Australia","Argentina","2009","1","","1","0"
"Australia","Armenia","2009","7","","7","0"
"Australia","Australia","2009","2","","2","0"
"Australia","Azerbaijan","2009","4","","4","0"
"Australia","Bahrain","2009","22","","22","0"
"Australia","Bangladesh","2009","235","","235","0"
"Australia","Belarus","2009","15","","15","0"
"Australia","Belgium","2009","0","","0","0"
"Australia","Benin","2009","1","","1","0"
"Australia","Bhutan","2009","3","","3","0"
"Australia","Bosnia and Herzegovina","2009","10","","10","0"
"Australia","Brazil","2009","9","","9","0"
"Australia","Bulgaria","2009","5","","5","0"
"Australia","Burundi","2009","30","","30","0"
"Australia","Cambodia","2009","16","","16","0"
"Australia","Cameroon","2009","46","","46","0"
"Australia","Canada","2009","3","","3","0"
"Australia","Chad","2009","2","","2","0"
"Australia","Chile","2009","2","","2","0"
"Australia","China","2009","1862","","1862","0"
"Australia","Colombia","2009","191","","191","0"
"Australia","Congo","2009","22","","22","0"
"Australia","Côte d'Ivoire","2009","7","","7","0"
"Australia","Croatia","2009","4","","4","0"
"Australia","Cuba","2009","6","","6","0"
"Australia","Czech Rep.","2009","1","","1","0"
"Australia","Dem. People's Rep. of Korea","2009","15","","15","0"
"Australia","Dem. Rep. of the Congo","2009","25","","25","0"
"Australia","Denmark","2009","2","","2","0"
"Australia","Ecuador","2009","4","","4","0"
"Australia","Egypt","2009","293","","293","0"
"Australia","El Salvador","2009","6","","6","0"
"Australia","Eritrea","2009","58","","58","0"
"Australia","Estonia","2009","0","","0","0"
"Australia","Ethiopia","2009","169","","169","0"
"Australia","Fiji","2009","81","","81","0"
"Australia","France","2009","4","","4","0"
"Australia","Gambia","2009","3","","3","0"
"Australia","Georgia","2009","10","","10","0"
"Australia","Germany","2009","0","","0","0"
"Australia","Ghana","2009","23","","23","0"
"Australia","Greece","2009","4","","4","0"
"Australia","Guinea","2009","10","","10","0"
"Australia","Guinea-Bissau","2009","1","","1","0"
"Australia","Guyana","2009","1","","1","0"
"Australia","India","2009","120","","120","0"
"Australia","Indonesia","2009","221","","221","0"
"Australia","Iraq","2009","5663","","5663","0"
"Australia","Islamic Rep. of Iran","2009","1249","","1249","0"
"Australia","Israel","2009","31","","31","0"
"Australia","Italy","2009","2","","2","0"
"Australia","Jordan","2009","68","","68","0"
"Australia","Kazakhstan","2009","6","","6","0"
"Australia","Kenya","2009","33","","33","0"
"Australia","Kuwait","2009","26","","26","0"
"Australia","Kyrgyzstan","2009","22","","22","0"
"Australia","Lao People's Dem. Rep.","2009","4","","4","0"
"Australia","Latvia","2009","6","","6","0"
"Australia","Lebanon","2009","183","","183","0"
"Australia","Liberia","2009","14","","14","0"
"Australia","Libya","2009","10","","10","0"
"Australia","Malawi","2009","0","","0","0"
"Australia","Malaysia","2009","38","","38","0"
"Australia","Maldives","2009","0","","0","0"
"Australia","Mali","2009","3","","3","0"
"Australia","Malta","2009","1","","1","0"
"Australia","Mauritania","2009","4","","4","0"
"Australia","Mexico","2009","1","","1","0"
"Australia","Mongolia","2009","42","","42","0"
"Australia","Morocco","2009","14","","14","0"
"Australia","Mozambique","2009","1","","1","0"
"Australia","Myanmar","2009","489","","489","0"
"Australia","Nepal","2009","130","","130","0"
"Australia","Niger","2009","1","","1","0"
"Australia","Nigeria","2009","88","","88","0"
"Australia","Pakistan","2009","589","","589","0"
"Australia","Papua New Guinea","2009","68","","68","0"
"Australia","Peru","2009","8","","8","0"
"Australia","Philippines","2009","11","","11","0"
"Australia","Rep. of Korea","2009","17","","17","0"
"Australia","Rep. of Moldova","2009","0","","0","0"
"Australia","Romania","2009","17","","17","0"
"Australia","Russian Federation","2009","171","","171","0"
"Australia","Rwanda","2009","15","","15","0"
"Australia","Saudi Arabia","2009","16","","16","0"
"Australia","Senegal","2009","4","","4","0"
"Australia","Serbia (and Kosovo: S/RES/1244 (1999))","2009","191","","191","0"
"Australia","Sierra Leone","2009","32","","32","0"
"Australia","Singapore","2009","5","","5","0"
"Australia","Solomon Islands","2009","32","","32","0"
"Australia","Somalia","2009","84","","84","0"
"Australia","South Africa","2009","21","","21","0"
"Australia","Sri Lanka","2009","2070","","2070","0"
"Australia","State of Palestine","2009","167","","167","0"
"Australia","Stateless","2009","149","","149","0"
"Australia","Sudan","2009","56","","56","0"
"Australia","Sweden","2009","1","","1","0"
"Australia","Syrian Arab Rep.","2009","80","","80","0"
"Australia","Tajikistan","2009","1","","1","0"
"Australia","Thailand","2009","13","","13","0"
"Australia","The former Yugoslav Rep. of Macedonia","2009","10","","10","0"
"Australia","Tibetans","2009","7","","7","0"
"Australia","Timor-Leste","2009","7","","7","0"
"Australia","Togo","2009","4","","4","0"
"Australia","Tonga","2009","3","","3","0"
"Australia","Tunisia","2009","17","","17","0"
"Australia","Turkey","2009","246","","246","0"
"Australia","Turkmenistan","2009","2","","2","0"
"Australia","Uganda","2009","31","","31","0"
"Australia","Ukraine","2009","52","","52","0"
"Australia","United Arab Emirates","2009","4","","4","0"
"Australia","United Kingdom","2009","2","","2","0"
"Australia","United Rep. of Tanzania","2009","7","","7","0"
"Australia","United States","2009","8","","8","0"
"Australia","Uzbekistan","2009","24","","24","0"
"Australia","Various","2009","237","","237","0"
"Australia","Venezuela (Bolivarian Republic of)","2009","7","","7","0"
"Australia","Viet Nam","2009","52","","52","0"
"Australia","Yemen","2009","6","","6","0"
"Australia","Zambia","2009","5","","5","0"
"Australia","Zimbabwe","2009","564","","564","0"
"Austria","Afghanistan","2009","6401","","6401","0"
"Austria","Albania","2009","178","","178","0"
"Austria","Algeria","2009","28","","28","0"
"Austria","Angola","2009","158","","158","0"
"Austria","Armenia","2009","797","","797","0"
"Austria","Azerbaijan","2009","320","","320","0"
"Austria","Bangladesh","2009","44","","44","0"
"Austria","Belarus","2009","81","","81","0"
"Austria","Benin","2009","4","","4","0"
"Austria","Bolivia (Plurinational State of)","2009","6","","6","0"
"Austria","Bosnia and Herzegovina","2009","206","","206","0"
"Austria","Brazil","2009","1","","1","0"
"Austria","Bulgaria","2009","5","","5","0"
"Austria","Burkina Faso","2009","5","","5","0"
"Austria","Burundi","2009","24","","24","0"
"Austria","Cambodia","2009","5","","5","0"
"Austria","Cameroon","2009","186","","186","0"
"Austria","Chad","2009","3","","3","0"
"Austria","China","2009","188","","188","0"
"Austria","Colombia","2009","32","","32","0"
"Austria","Congo","2009","92","","92","0"
"Austria","Côte d'Ivoire","2009","25","","25","0"
"Austria","Croatia","2009","15","","15","0"
"Austria","Cuba","2009","20","","20","0"
"Austria","Czech Rep.","2009","2","","2","0"
"Austria","Dem. Rep. of the Congo","2009","402","","402","0"
"Austria","Egypt","2009","36","","36","0"
"Austria","Equatorial Guinea","2009","1","","1","0"
"Austria","Eritrea","2009","48","","48","0"
"Austria","Estonia","2009","3","","3","0"
"Austria","Ethiopia","2009","113","","113","0"
"Austria","France","2009","1","","1","0"
"Austria","Gambia","2009","48","","48","0"
"Austria","Georgia","2009","654","","654","0"
"Austria","Ghana","2009","31","","31","0"
"Austria","Guatemala","2009","5","","5","0"
"Austria","Guinea","2009","36","","36","0"
"Austria","Guinea-Bissau","2009","2","","2","0"
"Austria","Hungary","2009","1","","1","0"
"Austria","India","2009","37","","37","0"
"Austria","Indonesia","2009","1","","1","0"
"Austria","Iraq","2009","2183","","2183","0"
"Austria","Islamic Rep. of Iran","2009","2183","","2183","0"
"Austria","Jordan","2009","7","","7","0"
"Austria","Kazakhstan","2009","31","","31","0"
"Austria","Kenya","2009","9","","9","0"
"Austria","Kyrgyzstan","2009","194","","194","0"
"Austria","Lao People's Dem. Rep.","2009","1","","1","0"
"Austria","Latvia","2009","2","","2","0"
"Austria","Lebanon","2009","33","","33","0"
"Austria","Liberia","2009","25","","25","0"
"Austria","Libya","2009","2","","2","0"
"Austria","Madagascar","2009","2","","2","0"
"Austria","Mali","2009","1","","1","0"
"Austria","Mauritania","2009","6","","6","0"
"Austria","Mongolia","2009","119","","119","0"
"Austria","Montenegro","2009","12","","12","0"
"Austria","Morocco","2009","12","","12","0"
"Austria","Myanmar","2009","6","","6","0"
"Austria","Nepal","2009","28","","28","0"
"Austria","Niger","2009","1","","1","0"
"Austria","Nigeria","2009","173","","173","0"
"Austria","Pakistan","2009","66","","66","0"
"Austria","Peru","2009","3","","3","0"
"Austria","Philippines","2009","5","","5","0"
"Austria","Poland","2009","1","","1","0"
"Austria","Rep. of Moldova","2009","121","","121","0"
"Austria","Romania","2009","45","","45","0"
"Austria","Russian Federation","2009","15828","","15828","0"
"Austria","Rwanda","2009","62","","62","0"
"Austria","Senegal","2009","3","","3","0"
"Austria","Serbia (and Kosovo: S/RES/1244 (1999))","2009","3473","","3473","0"
"Austria","Sierra Leone","2009","45","","45","0"
"Austria","Slovakia","2009","3","","3","0"
"Austria","Somalia","2009","830","","830","0"
"Austria","South Africa","2009","2","","2","0"
"Austria","Sri Lanka","2009","27","","27","0"
"Austria","Stateless","2009","374","","374","0"
"Austria","Sudan","2009","171","","171","0"
"Austria","Syrian Arab Rep.","2009","385","","385","0"
"Austria","Tajikistan","2009","44","","44","0"
"Austria","The former Yugoslav Rep. of Macedonia","2009","156","","156","0"
"Austria","Togo","2009","28","","28","0"
"Austria","Tunisia","2009","15","","15","0"
"Austria","Turkey","2009","1167","","1167","0"
"Austria","Turkmenistan","2009","14","","14","0"
"Austria","Uganda","2009","17","","17","0"
"Austria","Ukraine","2009","259","","259","0"
"Austria","United States","2009","1","","1","0"
"Austria","Uzbekistan","2009","111","","111","0"
"Austria","Various","2009","310","","310","0"
"Austria","Viet Nam","2009","45","","45","0"
"Austria","Yemen","2009","7","","7","0"
"Austria","Zimbabwe","2009","13","","13","0"
"Azerbaijan","Afghanistan","2009","149","149","149","149"
"Azerbaijan","Armenia","2009","3","3","3","3"
"Azerbaijan","Dem. Rep. of the Congo","2009","1","1","1","1"
"Azerbaijan","Iraq","2009","37","37","37","37"
"Azerbaijan","Islamic Rep. of Iran","2009","113","113","113","113"
"Azerbaijan","Pakistan","2009","1","1","1","1"
"Azerbaijan","Russian Federation","2009","1334","1334","1334","1334"
"Azerbaijan","State of Palestine","2009","1","1","1","1"
"Azerbaijan","Syrian Arab Rep.","2009","0","0","0","0"
"Azerbaijan","Turkmenistan","2009","3","3","3","3"
"Bahrain","Iraq","2009","139","139","139","139"
"Bangladesh","Ethiopia","2009","0","0","0","0"
"Bangladesh","Iraq","2009","3","0","3","0"
"Bangladesh","Islamic Rep. of Iran","2009","4","0","4","0"
"Bangladesh","Myanmar","2009","28557","28342","228557","28342"
"Bangladesh","Sierra Leone","2009","0","0","0","0"
"Bangladesh","Somalia","2009","15","0","15","0"
"Bangladesh","Sri Lanka","2009","5","0","5","0"
"Bangladesh","State of Palestine","2009","2","0","2","0"
"Bangladesh","Sudan","2009","0","0","0","0"
"Belarus","Afghanistan","2009","408","171","408","171"
"Belarus","Armenia","2009","3","0","3","0"
"Belarus","Azerbaijan","2009","26","3","26","3"
"Belarus","Ethiopia","2009","11","4","11","4"
"Belarus","Georgia","2009","100","39","100","39"
"Belarus","India","2009","1","1","1","1"
"Belarus","Iraq","2009","1","0","1","0"
"Belarus","Islamic Rep. of Iran","2009","8","4","8","4"
"Belarus","Liberia","2009","1","0","1","0"
"Belarus","Rwanda","2009","1","0","1","0"
"Belarus","State of Palestine","2009","5","1","5","1"
"Belarus","Tajikistan","2009","15","9","15","9"
"Belgium","Afghanistan","2009","271","0","271","0"
"Belgium","Albania","2009","195","0","195","0"
"Belgium","Algeria","2009","36","0","36","0"
"Belgium","Angola","2009","109","0","109","0"
"Belgium","Armenia","2009","55","0","55","0"
"Belgium","Azerbaijan","2009","27","0","27","0"
"Belgium","Bangladesh","2009","10","0","10","0"
"Belgium","Belarus","2009","108","0","108","0"
"Belgium","Benin","2009","1","0","1","0"
"Belgium","Bhutan","2009","2","0","2","0"
"Belgium","Bolivia (Plurinational State of)","2009","5","0","5","0"
"Belgium","Bosnia and Herzegovina","2009","84","0","84","0"
"Belgium","Bulgaria","2009","34","0","34","0"
"Belgium","Burkina Faso","2009","21","0","21","0"
"Belgium","Burundi","2009","245","0","245","0"
"Belgium","Cambodia","2009","16","0","16","0"
"Belgium","Cameroon","2009","220","0","220","0"
"Belgium","Central African Rep.","2009","19","0","19","0"
"Belgium","Chad","2009","39","0","39","0"
"Belgium","Chile","2009","62","0","62","0"
"Belgium","China","2009","384","0","384","0"
"Belgium","Colombia","2009","32","0","32","0"
"Belgium","Comoros","2009","0","0","0","0"
"Belgium","Congo","2009","34","0","34","0"
"Belgium","Côte d'Ivoire","2009","201","0","201","0"
"Belgium","Croatia","2009","10","0","10","0"
"Belgium","Cuba","2009","1","0","1","0"
"Belgium","Czech Rep.","2009","11","0","11","0"
"Belgium","Dem. People's Rep. of Korea","2009","13","0","13","0"
"Belgium","Dem. Rep. of the Congo","2009","748","0","748","0"
"Belgium","Djibouti","2009","59","0","59","0"
"Belgium","Dominican Rep.","2009","1","0","1","0"
"Belgium","Egypt","2009","9","0","9","0"
"Belgium","Eritrea","2009","24","0","24","0"
"Belgium","Estonia","2009","3","0","3","0"
"Belgium","Ethiopia","2009","80","0","80","0"
"Belgium","Gabon","2009","2","0","2","0"
"Belgium","Gambia","2009","0","0","0","0"
"Belgium","Georgia","2009","14","0","14","0"
"Belgium","Germany","2009","4","0","4","0"
"Belgium","Ghana","2009","8","0","8","0"
"Belgium","Greece","2009","1","0","1","0"
"Belgium","Guatemala","2009","6","0","6","0"
"Belgium","Guinea","2009","696","0","696","0"
"Belgium","Guinea-Bissau","2009","8","0","8","0"
"Belgium","Haiti","2009","8","0","8","0"
"Belgium","Hungary","2009","103","0","103","0"
"Belgium","India","2009","2","0","2","0"
"Belgium","Iraq","2009","718","0","718","0"
"Belgium","Islamic Rep. of Iran","2009","339","0","339","0"
"Belgium","Israel","2009","1","0","1","0"
"Belgium","Jordan","2009","13","0","13","0"
"Belgium","Kazakhstan","2009","13","0","13","0"
"Belgium","Kenya","2009","16","0","16","0"
"Belgium","Kyrgyzstan","2009","10","0","10","0"
"Belgium","Lao People's Dem. Rep.","2009","21","0","21","0"
"Belgium","Latvia","2009","5","0","5","0"
"Belgium","Lebanon","2009","50","0","50","0"
"Belgium","Liberia","2009","14","0","14","0"
"Belgium","Libya","2009","13","0","13","0"
"Belgium","Lithuania","2009","18","0","18","0"
"Belgium","Madagascar","2009","1","0","1","0"
"Belgium","Mali","2009","4","0","4","0"
"Belgium","Mauritania","2009","116","0","116","0"
"Belgium","Montenegro","2009","0","0","0","0"
"Belgium","Morocco","2009","14","0","14","0"
"Belgium","Myanmar","2009","9","0","9","0"
"Belgium","Namibia","2009","1","0","1","0"
"Belgium","Nepal","2009","25","0","25","0"
"Belgium","Niger","2009","31","0","31","0"
"Belgium","Nigeria","2009","13","0","13","0"
"Belgium","Pakistan","2009","55","0","55","0"
"Belgium","Peru","2009","4","0","4","0"
"Belgium","Poland","2009","302","0","302","0"
"Belgium","Portugal","2009","1","0","1","0"
"Belgium","Rep. of Moldova","2009","6","0","6","0"
"Belgium","Romania","2009","45","0","45","0"
"Belgium","Russian Federation","2009","3428","0","3428","0"
"Belgium","Rwanda","2009","1046","0","1046","0"
"Belgium","Senegal","2009","35","0","35","0"
"Belgium","Serbia (and Kosovo: S/RES/1244 (1999))","2009","1059","0","1059","0"
"Belgium","Sierra Leone","2009","34","0","34","0"
"Belgium","Somalia","2009","98","0","98","0"
"Belgium","South Africa","2009","2","0","2","0"
"Belgium","Spain","2009","3","0","3","0"
"Belgium","Sri Lanka","2009","160","0","160","0"
"Belgium","State of Palestine","2009","52","0","52","0"
"Belgium","Stateless","2009","0","0","0","0"
"Belgium","Sudan","2009","48","0","48","0"
"Belgium","Syrian Arab Rep.","2009","177","0","177","0"
"Belgium","The former Yugoslav Rep. of Macedonia","2009","11","0","11","0"
"Belgium","Tibetans","2009","15","0","15","0"
"Belgium","Togo","2009","112","0","112","0"
"Belgium","Tunisia","2009","17","0","17","0"
"Belgium","Turkey","2009","471","0","471","0"
"Belgium","Uganda","2009","9","0","9","0"
"Belgium","Ukraine","2009","89","0","89","0"
"Belgium","United Rep. of Tanzania","2009","14","0","14","0"
"Belgium","Uruguay","2009","2","0","2","0"
"Belgium","Uzbekistan","2009","36","0","36","0"
"Belgium","Various","2009","2681","0","2681","0"
"Belgium","Viet Nam","2009","64","0","64","0"
"Belgium","Yemen","2009","3","0","3","0"
"Belgium","Zimbabwe","2009","0","0","0","0"
"Belize","El Salvador","2009","225","44","225","44"
"Belize","Nicaragua","2009","5","9","5","9"
"Benin","Algeria","2009","2","2","2","2"
"Benin","Angola","2009","5","5","5","5"
"Benin","Bosnia and Herzegovina","2009","1","1","1","1"
"Benin","Burkina Faso","2009","1","1","1","1"
"Benin","Burundi","2009","33","33","33","33"
"Benin","Cameroon","2009","12","12","12","12"
"Benin","Central African Rep.","2009","11","11","11","11"
"Benin","Chad","2009","215","215","215","215"
"Benin","Congo","2009","266","266","266","266"
"Benin","Côte d'Ivoire","2009","59","59","59","59"
"Benin","Dem. Rep. of the Congo","2009","402","402","402","402"
"Benin","Equatorial Guinea","2009","11","11","11","11"
"Benin","Ethiopia","2009","4","4","4","4"
"Benin","Ghana","2009","1","1","1","1"
"Benin","Guinea","2009","7","7","7","7"
"Benin","Iraq","2009","6","6","6","6"
"Benin","Islamic Rep. of Iran","2009","1","1","1","1"
"Benin","Liberia","2009","3","3","3","3"
"Benin","Nigeria","2009","83","83","83","83"
"Benin","Oman","2009","0","0","0","0"
"Benin","Rwanda","2009","145","145","145","145"
"Benin","Somalia","2009","4","4","4","4"
"Benin","Sudan","2009","8","8","8","8"
"Benin","Syrian Arab Rep.","2009","1","1","1","1"
"Benin","Togo","2009","5921","5921","5921","5921"
"Benin","Viet Nam","2009","3","3","3","3"
"Bolivia (Plurinational State of)","Angola","2009","1","1","1","1"
"Bolivia (Plurinational State of)","Cameroon","2009","1","1","1","1"
"Bolivia (Plurinational State of)","Chile","2009","8","3","8","3"
"Bolivia (Plurinational State of)","Colombia","2009","110","103","110","103"
"Bolivia (Plurinational State of)","Congo","2009","1","0","1","0"
"Bolivia (Plurinational State of)","Cuba","2009","9","5","9","5"
"Bolivia (Plurinational State of)","Ecuador","2009","2","2","2","2"
"Bolivia (Plurinational State of)","Ethiopia","2009","2","0","2","0"
"Bolivia (Plurinational State of)","Ghana","2009","1","1","1","1"
"Bolivia (Plurinational State of)","Honduras","2009","1","0","1","0"
"Bolivia (Plurinational State of)","Iraq","2009","16","12","16","12"
"Bolivia (Plurinational State of)","Israel","2009","1","1","1","1"
"Bolivia (Plurinational State of)","Peru","2009","516","203","516","203"
"Bolivia (Plurinational State of)","Portugal","2009","1","0","1","0"
"Bolivia (Plurinational State of)","Russian Federation","2009","5","0","5","0"
"Bolivia (Plurinational State of)","Serbia (and Kosovo: S/RES/1244 (1999))","2009","1","0","1","0"
"Bolivia (Plurinational State of)","Slovakia","2009","1","0","1","0"
"Bolivia (Plurinational State of)","Ukraine","2009","1","0","1","0"
"Bolivia (Plurinational State of)","Venezuela (Bolivarian Republic of)","2009","1","0","1","0"
"Bosnia and Herzegovina","Algeria","2009","1","1","1","1"
"Bosnia and Herzegovina","Croatia","2009","6941","1296","6941","1296"
"Bosnia and Herzegovina","Montenegro","2009","1","1","1","1"
"Bosnia and Herzegovina","Rep. of Moldova","2009","3","3","3","3"
"Bosnia and Herzegovina","Saudi Arabia","2009","1","1","1","1"
"Bosnia and Herzegovina","Serbia (and Kosovo: S/RES/1244 (1999))","2009","174","174","174","174"
"Bosnia and Herzegovina","Sri Lanka","2009","1","","1","0"
"Bosnia and Herzegovina","State of Palestine","2009","4","4","4","4"
"Bosnia and Herzegovina","Syrian Arab Rep.","2009","1","","1","0"
"Bosnia and Herzegovina","The former Yugoslav Rep. of Macedonia","2009","4","4","4","4"
"Bosnia and Herzegovina","Tunisia","2009","1","1","1","1"
"Botswana","Algeria","2009","1","1","1","1"
"Botswana","Angola","2009","502","502","502","502"
"Botswana","Burundi","2009","82","82","82","82"
"Botswana","Cameroon","2009","1","1","1","1"
"Botswana","Dem. Rep. of the Congo","2009","111","111","111","111"
"Botswana","Eritrea","2009","9","9","9","9"
"Botswana","Ethiopia","2009","3","3","3","3"
"Botswana","Kenya","2009","3","3","3","3"
"Botswana","Namibia","2009","884","884","884","884"
"Botswana","Rwanda","2009","61","61","61","61"
"Botswana","Sierra Leone","2009","1","1","1","1"
"Botswana","Somalia","2009","488","488","488","488"
"Botswana","Sudan","2009","8","8","8","8"
"Botswana","Uganda","2009","8","8","8","8"
"Botswana","Zimbabwe","2009","860","860","860","860"
"Brazil","Afghanistan","2009","12","9","12","9"
"Brazil","Albania","2009","1","1","1","1"
"Brazil","Algeria","2009","7","1","7","1"
"Brazil","Angola","2009","1683","989","1683","989"
"Brazil","Argentina","2009","11","7","11","7"
"Brazil","Armenia","2009","3","3","3","3"
"Brazil","Bhutan","2009","2","2","2","2"
