"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Argentina","Islamic Rep. of Iran","2005","28","","28",""
"Argentina","Kazakhstan","2005","96","8","96","8"
"Argentina","Kyrgyzstan","2005","3","","3",""
"Argentina","Lao People's Dem. Rep.","2005","1333","18","1333","18"
"Argentina","Latvia","2005","2","2","2","2"
"Argentina","Lebanon","2005","4","","4",""
"Argentina","Liberia","2005","70","24","70","24"
"Argentina","Lithuania","2005","2","1","2","1"
"Argentina","Mali","2005","19","6","19","6"
"Argentina","Mauritania","2005","1","1","1","1"
"Argentina","Nicaragua","2005","6","","6",""
"Argentina","Niger","2005","1","","1",""
"Argentina","Nigeria","2005","31","5","31","5"
"Argentina","Pakistan","2005","37","18","37","18"
"Argentina","Paraguay","2005","1","","1",""
"Argentina","Peru","2005","457","346","457","346"
"Argentina","Romania","2005","1","","1",""
"Argentina","Russian Federation","2005","42","19","42","19"
"Argentina","Senegal","2005","66","43","66","43"
"Argentina","Serbia (and Kosovo: S/RES/1244 (1999))","2005","9","5","9","5"
"Argentina","Sierra Leone","2005","73","40","73","40"
"Argentina","South Africa","2005","2","","2",""
"Argentina","Sri Lanka","2005","37","1","37","1"
"Argentina","Stateless","2005","1","1","1","1"
"Argentina","Sudan","2005","1","","1",""
"Argentina","Turkey","2005","6","3","6","3"
"Argentina","Ukraine","2005","11","6","11","6"
"Argentina","Uruguay","2005","1","","1",""
"Argentina","Viet Nam","2005","33","3","33","3"
"Argentina","Zimbabwe","2005","2","1","2","1"
"Armenia","Azerbaijan","2005","219324","10530","219324","10530"
"Armenia","Georgia","2005","1","1","1","1"
"Armenia","Iraq","2005","218","218","218","218"
"Armenia","Islamic Rep. of Iran","2005","4","4","4","4"
"Armenia","Russian Federation","2005","1","1","1","1"
"Armenia","Turkey","2005","2","2","2","2"
"Australia","Afghanistan","2005","8082","","8082",""
"Australia","Albania","2005","13","","13",""
"Australia","Algeria","2005","24","","24",""
"Australia","Angola","2005","1","","1",""
"Australia","Armenia","2005","5","","5",""
"Australia","Austria","2005","2","","2",""
"Australia","Azerbaijan","2005","2","","2",""
"Australia","Bahrain","2005","3","","3",""
"Australia","Bangladesh","2005","86","","86",""
"Australia","Belarus","2005","14","","14",""
"Australia","Bhutan","2005","3","","3",""
"Australia","Bosnia and Herzegovina","2005","580","","580",""
"Australia","Brazil","2005","7","","7",""
"Australia","Bulgaria","2005","3","","3",""
"Australia","Burundi","2005","759","","759",""
"Australia","Cambodia","2005","23","","23",""
"Australia","Cameroon","2005","4","","4",""
"Australia","Canada","2005","1","","1",""
"Australia","Chad","2005","1","","1",""
"Australia","Chile","2005","1","","1",""
"Australia","China","2005","537","","537",""
"Australia","Colombia","2005","134","","134",""
"Australia","Congo","2005","561","","561",""
"Australia","Côte d'Ivoire","2005","159","","159",""
"Australia","Croatia","2005","1316","","1316",""
"Australia","Cuba","2005","8","","8",""
"Australia","Czech Rep.","2005","4","","4",""
"Australia","Dem. People's Rep. of Korea","2005","6","","6",""
"Australia","Dem. Rep. of the Congo","2005","185","","185",""
"Australia","Denmark","2005","2","","2",""
"Australia","Djibouti","2005","6","","6",""
"Australia","Ecuador","2005","10","","10",""
"Australia","Egypt","2005","994","","994",""
"Australia","El Salvador","2005","3","","3",""
"Australia","Eritrea","2005","577","","577",""
"Australia","Ethiopia","2005","1931","","1931",""
"Australia","Fiji","2005","15","","15",""
"Australia","French Polynesia","2005","1","","1",""
"Australia","Georgia","2005","9","","9",""
"Australia","Germany","2005","9","","9",""
"Australia","Ghana","2005","68","","68",""
"Australia","Greece","2005","4","","4",""
"Australia","Guinea","2005","247","","247",""
"Australia","Guinea-Bissau","2005","1","","1",""
"Australia","Guyana","2005","1","","1",""
"Australia","Haiti","2005","6","","6",""
"Australia","India","2005","53","","53",""
"Australia","Indonesia","2005","1302","","1302",""
"Australia","Iraq","2005","10859","","10859",""
"Australia","Islamic Rep. of Iran","2005","2560","","2560",""
"Australia","Israel","2005","13","","13",""
"Australia","Jordan","2005","59","","59",""
"Australia","Kazakhstan","2005","4","","4",""
"Australia","Kenya","2005","881","","881",""
"Australia","Kuwait","2005","113","","113",""
"Australia","Kyrgyzstan","2005","15","","15",""
"Australia","Lao People's Dem. Rep.","2005","56","","56",""
"Australia","Lebanon","2005","346","","346",""
"Australia","Liberia","2005","1698","","1698",""
"Australia","Libya","2005","2","","2",""
"Australia","Malawi","2005","37","","37",""
"Australia","Malaysia","2005","10","","10",""
"Australia","Mali","2005","1","","1",""
"Australia","Malta","2005","1","","1",""
"Australia","Mauritania","2005","6","","6",""
"Australia","Mongolia","2005","8","","8",""
"Australia","Morocco","2005","7","","7",""
"Australia","Myanmar","2005","967","","967",""
"Australia","Namibia","2005","7","","7",""
"Australia","Nepal","2005","47","","47",""
"Australia","Nigeria","2005","34","","34",""
"Australia","Pakistan","2005","322","","322",""
"Australia","Papua New Guinea","2005","8","","8",""
"Australia","Peru","2005","8","","8",""
"Australia","Philippines","2005","9","","9",""
"Australia","Rep. of Korea","2005","1","","1",""
"Australia","Romania","2005","8","","8",""
"Australia","Russian Federation","2005","96","","96",""
"Australia","Rwanda","2005","192","","192",""
"Australia","Saudi Arabia","2005","16","","16",""
"Australia","Senegal","2005","2","","2",""
"Australia","Serbia (and Kosovo: S/RES/1244 (1999))","2005","3826","","3826",""
"Australia","Sierra Leone","2005","1833","","1833",""
"Australia","Singapore","2005","5","","5",""
"Australia","Slovenia","2005","3","","3",""
"Australia","Solomon Islands","2005","22","","22",""
"Australia","Somalia","2005","864","","864",""
"Australia","South Africa","2005","10","","10",""
"Australia","Sri Lanka","2005","571","","571",""
"Australia","State of Palestine","2005","130","","130",""
"Australia","Stateless","2005","54","","54",""
"Australia","Sudan","2005","18827","","18827",""
"Australia","Syrian Arab Rep.","2005","124","","124",""
"Australia","Tajikistan","2005","1","","1",""
"Australia","Thailand","2005","198","","198",""
"Australia","The former Yugoslav Rep. of Macedonia","2005","4","","4",""
"Australia","Timor-Leste","2005","251","","251",""
"Australia","Togo","2005","2","","2",""
"Australia","Tunisia","2005","13","","13",""
"Australia","Turkey","2005","355","","355",""
"Australia","Uganda","2005","370","","370",""
"Australia","Ukraine","2005","34","","34",""
"Australia","United Arab Emirates","2005","8","","8",""
"Australia","United Kingdom","2005","5","","5",""
"Australia","United Rep. of Tanzania","2005","489","","489",""
"Australia","United States","2005","2","","2",""
"Australia","Uzbekistan","2005","11","","11",""
"Australia","Various","2005","442","","442",""
"Australia","Viet Nam","2005","243","","243",""
"Australia","Yemen","2005","30","","30",""
"Australia","Zambia","2005","4","","4",""
"Australia","Zimbabwe","2005","77","","77",""
"Austria","Afghanistan","2005","2991","","2991",""
"Austria","Albania","2005","158","","158",""
"Austria","Algeria","2005","10","","10",""
"Austria","Angola","2005","94","","94",""
"Austria","Armenia","2005","174","","174",""
"Austria","Azerbaijan","2005","95","","95",""
"Austria","Bangladesh","2005","2","","2",""
"Austria","Belarus","2005","17","","17",""
"Austria","Benin","2005","1","","1",""
"Austria","Bolivia (Plurinational State of)","2005","6","","6",""
"Austria","Bosnia and Herzegovina","2005","231","","231",""
"Austria","Bulgaria","2005","8","","8",""
"Austria","Burkina Faso","2005","1","","1",""
"Austria","Burundi","2005","11","","11",""
"Austria","Cambodia","2005","20","","20",""
"Austria","Cameroon","2005","84","","84",""
"Austria","Chad","2005","2","","2",""
"Austria","Chile","2005","2","","2",""
"Austria","China","2005","41","","41",""
"Austria","Colombia","2005","32","","32",""
"Austria","Congo","2005","46","","46",""
"Austria","Côte d'Ivoire","2005","9","","9",""
"Austria","Croatia","2005","23","","23",""
"Austria","Cuba","2005","5","","5",""
"Austria","Czech Rep.","2005","3","","3",""
"Austria","Dem. Rep. of the Congo","2005","313","","313",""
"Austria","Egypt","2005","31","","31",""
"Austria","Eritrea","2005","21","","21",""
"Austria","Ethiopia","2005","76","","76",""
"Austria","France","2005","1","","1",""
"Austria","Gambia","2005","12","","12",""
"Austria","Georgia","2005","226","","226",""
"Austria","Ghana","2005","20","","20",""
"Austria","Guinea","2005","21","","21",""
"Austria","Hungary","2005","1","","1",""
"Austria","India","2005","4","","4",""
"Austria","Indonesia","2005","4","","4",""
"Austria","Iraq","2005","1224","","1224",""
"Austria","Islamic Rep. of Iran","2005","1589","","1589",""
"Austria","Jordan","2005","2","","2",""
"Austria","Kazakhstan","2005","17","","17",""
"Austria","Kenya","2005","1","","1",""
"Austria","Kyrgyzstan","2005","56","","56",""
"Austria","Lao People's Dem. Rep.","2005","1","","1",""
"Austria","Lebanon","2005","11","","11",""
"Austria","Liberia","2005","15","","15",""
"Austria","Libya","2005","2","","2",""
"Austria","Madagascar","2005","2","","2",""
"Austria","Mauritania","2005","3","","3",""
"Austria","Mongolia","2005","16","","16",""
"Austria","Morocco","2005","2","","2",""
"Austria","Nigeria","2005","55","","55",""
"Austria","Pakistan","2005","24","","24",""
"Austria","Peru","2005","2","","2",""
"Austria","Poland","2005","3","","3",""
"Austria","Rep. of Moldova","2005","32","","32",""
"Austria","Romania","2005","96","","96",""
"Austria","Russian Federation","2005","6438","","6438",""
"Austria","Rwanda","2005","88","","88",""
"Austria","Senegal","2005","1","","1",""
"Austria","Serbia (and Kosovo: S/RES/1244 (1999))","2005","5091","","5091",""
"Austria","Sierra Leone","2005","44","","44",""
"Austria","Slovakia","2005","2","","2",""
"Austria","Slovenia","2005","1","","1",""
"Austria","Somalia","2005","146","","146",""
"Austria","Sri Lanka","2005","4","","4",""
"Austria","Stateless","2005","122","","122",""
"Austria","Sudan","2005","108","","108",""
"Austria","Syrian Arab Rep.","2005","122","","122",""
"Austria","Tajikistan","2005","40","","40",""
"Austria","The former Yugoslav Rep. of Macedonia","2005","36","","36",""
"Austria","Togo","2005","23","","23",""
"Austria","Tunisia","2005","33","","33",""
"Austria","Turkey","2005","466","","466",""
"Austria","Turkmenistan","2005","12","","12",""
"Austria","Uganda","2005","12","","12",""
"Austria","Ukraine","2005","101","","101",""
"Austria","United States","2005","1","","1",""
"Austria","Uzbekistan","2005","25","","25",""
"Austria","Various","2005","258","","258",""
"Austria","Viet Nam","2005","102","","102",""
"Austria","Yemen","2005","3","","3",""
"Austria","Zimbabwe","2005","2","","2",""
"Azerbaijan","Afghanistan","2005","90","90","90","90"
"Azerbaijan","Iraq","2005","19","19","19","19"
"Azerbaijan","Islamic Rep. of Iran","2005","55","55","55","55"
"Azerbaijan","Pakistan","2005","1","1","1","1"
"Azerbaijan","Russian Federation","2005","2828","2828","2828","2828"
"Azerbaijan","State of Palestine","2005","7","7","7","7"
"Azerbaijan","Syrian Arab Rep.","2005","1","1","1","1"
"Azerbaijan","Turkmenistan","2005","3","3","3","3"
"Bangladesh","Afghanistan","2005","1","","1",""
"Bangladesh","Islamic Rep. of Iran","2005","27","","27",""
"Bangladesh","Myanmar","2005","21053","20953","21053","20953"
"Bangladesh","Sierra Leone","2005","3","2","3","2"
"Bangladesh","Somalia","2005","14","4","14","4"
"Belarus","Afghanistan","2005","517","215","517","215"
"Belarus","Armenia","2005","1","1","1","1"
"Belarus","Azerbaijan","2005","29","3","29","3"
"Belarus","Ethiopia","2005","19","9","19","9"
"Belarus","Georgia","2005","125","14","125","14"
"Belarus","India","2005","1","1","1","1"
"Belarus","Iraq","2005","1","","1",""
"Belarus","Islamic Rep. of Iran","2005","2","1","2","1"
"Belarus","Liberia","2005","1","","1",""
"Belarus","Rwanda","2005","1","","1",""
"Belarus","State of Palestine","2005","8","","8",""
"Belarus","Tajikistan","2005","20","3","20","3"
"Belgium","Afghanistan","2005","381","","381",""
"Belgium","Albania","2005","201","","201",""
"Belgium","Algeria","2005","80","","80",""
"Belgium","Angola","2005","122","","122",""
"Belgium","Armenia","2005","34","","34",""
"Belgium","Azerbaijan","2005","46","","46",""
"Belgium","Bangladesh","2005","5","","5",""
"Belgium","Belarus","2005","146","","146",""
"Belgium","Benin","2005","1","","1",""
"Belgium","Bolivia (Plurinational State of)","2005","10","","10",""
"Belgium","Bosnia and Herzegovina","2005","164","","164",""
"Belgium","Bulgaria","2005","35","","35",""
"Belgium","Burkina Faso","2005","1","","1",""
"Belgium","Burundi","2005","312","","312",""
"Belgium","Cambodia","2005","34","","34",""
"Belgium","Cameroon","2005","45","","45",""
"Belgium","Central African Rep.","2005","2","","2",""
"Belgium","Chad","2005","9","","9",""
"Belgium","Chile","2005","87","","87",""
"Belgium","China","2005","97","","97",""
"Belgium","Colombia","2005","62","","62",""
"Belgium","Congo","2005","38","","38",""
"Belgium","Côte d'Ivoire","2005","33","","33",""
"Belgium","Croatia","2005","7","","7",""
"Belgium","Czech Rep.","2005","18","","18",""
"Belgium","Dem. Rep. of the Congo","2005","866","","866",""
"Belgium","Djibouti","2005","92","","92",""
"Belgium","Dominican Rep.","2005","1","","1",""
"Belgium","Ecuador","2005","4","","4",""
"Belgium","Egypt","2005","1","","1",""
"Belgium","El Salvador","2005","2","","2",""
"Belgium","Eritrea","2005","1","","1",""
"Belgium","Estonia","2005","3","","3",""
"Belgium","Ethiopia","2005","30","","30",""
"Belgium","Gabon","2005","2","","2",""
"Belgium","Georgia","2005","30","","30",""
"Belgium","Germany","2005","5","","5",""
"Belgium","Ghana","2005","4","","4",""
"Belgium","Greece","2005","1","","1",""
"Belgium","Guatemala","2005","8","","8",""
"Belgium","Guinea","2005","73","","73",""
"Belgium","Guinea-Bissau","2005","8","","8",""
"Belgium","Haiti","2005","5","","5",""
"Belgium","Hungary","2005","147","","147",""
"Belgium","India","2005","5","","5",""
"Belgium","Iraq","2005","231","","231",""
"Belgium","Islamic Rep. of Iran","2005","327","","327",""
"Belgium","Israel","2005","4","","4",""
"Belgium","Jordan","2005","12","","12",""
"Belgium","Kazakhstan","2005","33","","33",""
"Belgium","Kenya","2005","1","","1",""
"Belgium","Kyrgyzstan","2005","27","","27",""
"Belgium","Lao People's Dem. Rep.","2005","33","","33",""
"Belgium","Latvia","2005","19","","19",""
"Belgium","Lebanon","2005","22","","22",""
"Belgium","Liberia","2005","12","","12",""
"Belgium","Lithuania","2005","24","","24",""
"Belgium","Madagascar","2005","5","","5",""
"Belgium","Mauritania","2005","52","","52",""
"Belgium","Morocco","2005","7","","7",""
"Belgium","Myanmar","2005","9","","9",""
"Belgium","Namibia","2005","2","","2",""
"Belgium","Nepal","2005","23","","23",""
"Belgium","Niger","2005","4","","4",""
"Belgium","Nigeria","2005","1","","1",""
"Belgium","Pakistan","2005","74","","74",""
"Belgium","Peru","2005","3","","3",""
"Belgium","Poland","2005","484","","484",""
"Belgium","Portugal","2005","1","","1",""
"Belgium","Rep. of Korea","2005","4","","4",""
"Belgium","Rep. of Moldova","2005","6","","6",""
"Belgium","Romania","2005","62","","62",""
"Belgium","Russian Federation","2005","3899","","3899",""
"Belgium","Rwanda","2005","1929","","1929",""
"Belgium","Senegal","2005","3","","3",""
"Belgium","Serbia (and Kosovo: S/RES/1244 (1999))","2005","1889","","1889",""
"Belgium","Sierra Leone","2005","5","","5",""
"Belgium","Somalia","2005","108","","108",""
"Belgium","South Africa","2005","2","","2",""
"Belgium","Spain","2005","3","","3",""
"Belgium","Sri Lanka","2005","4","","4",""
"Belgium","State of Palestine","2005","35","","35",""
"Belgium","Stateless","2005","366","","366",""
"Belgium","Sudan","2005","33","","33",""
"Belgium","Syrian Arab Rep.","2005","115","","115",""
"Belgium","The former Yugoslav Rep. of Macedonia","2005","49","","49",""
"Belgium","Tibetans","2005","7","","7",""
"Belgium","Togo","2005","47","","47",""
"Belgium","Tunisia","2005","21","","21",""
"Belgium","Turkey","2005","468","","468",""
"Belgium","Uganda","2005","2","","2",""
"Belgium","Ukraine","2005","138","","138",""
"Belgium","United Rep. of Tanzania","2005","4","","4",""
"Belgium","Uruguay","2005","4","","4",""
"Belgium","Uzbekistan","2005","34","","34",""
"Belgium","Various","2005","1270","","1270",""
"Belgium","Viet Nam","2005","98","","98",""
"Belgium","Yemen","2005","9","","9",""
"Belize","El Salvador","2005","553","164","553","164"
"Belize","Guatemala","2005","7","7","7","7"
"Belize","Nicaragua","2005","64","13","64","13"
"Benin","Algeria","2005","7","7","7","7"
"Benin","Angola","2005","7","7","7","7"
"Benin","Burkina Faso","2005","6","6","6","6"
"Benin","Burundi","2005","110","110","110","110"
"Benin","Cameroon","2005","54","54","54","54"
"Benin","Central African Rep.","2005","37","37","37","37"
"Benin","Chad","2005","370","370","370","370"
"Benin","Comoros","2005","3","3","3","3"
"Benin","Congo","2005","1126","1126","1126","1126"
"Benin","Côte d'Ivoire","2005","113","113","113","113"
"Benin","Cuba","2005","1","1","1","1"
"Benin","Dem. Rep. of the Congo","2005","856","856","856","856"
"Benin","Equatorial Guinea","2005","13","13","13","13"
"Benin","Ethiopia","2005","16","16","16","16"
"Benin","Ghana","2005","2","2","2","2"
"Benin","Guinea","2005","5","5","5","5"
"Benin","Guinea-Bissau","2005","3","3","3","3"
"Benin","Iraq","2005","7","7","7","7"
"Benin","Islamic Rep. of Iran","2005","1","1","1","1"
"Benin","Liberia","2005","15","15","15","15"
"Benin","Niger","2005","2","2","2","2"
"Benin","Nigeria","2005","244","244","244","244"
"Benin","Oman","2005","2","2","2","2"
"Benin","Rwanda","2005","599","599","599","599"
"Benin","Sierra Leone","2005","5","5","5","5"
"Benin","Somalia","2005","1","1","1","1"
"Benin","Sudan","2005","51","51","51","51"
"Benin","Syrian Arab Rep.","2005","1","1","1","1"
"Benin","Togo","2005","26632","26632","26632","26632"
"Benin","Uganda","2005","5","5","5","5"
"Bolivia (Plurinational State of)","Afghanistan","2005","2","2","2","2"
"Bolivia (Plurinational State of)","Colombia","2005","20","17","20","17"
"Bolivia (Plurinational State of)","Cuba","2005","37","12","37","12"
"Bolivia (Plurinational State of)","Ecuador","2005","2","2","2","2"
"Bolivia (Plurinational State of)","Iraq","2005","15","15","15","15"
"Bolivia (Plurinational State of)","Islamic Rep. of Iran","2005","3","2","3","2"
"Bolivia (Plurinational State of)","Israel","2005","1","1","1","1"
"Bolivia (Plurinational State of)","Peru","2005","442","312","442","312"
"Bolivia (Plurinational State of)","Russian Federation","2005","13","","13",""
"Bosnia and Herzegovina","Algeria","2005","1","","1",""
"Bosnia and Herzegovina","Croatia","2005","7458","2763","7458","2763"
"Bosnia and Herzegovina","Rep. of Moldova","2005","4","","4",""
"Bosnia and Herzegovina","Serbia (and Kosovo: S/RES/1244 (1999))","2005","3098","598","3098","598"
"Bosnia and Herzegovina","State of Palestine","2005","5","","5",""
"Bosnia and Herzegovina","Syrian Arab Rep.","2005","1","","1",""
"Bosnia and Herzegovina","Tunisia","2005","1","","1",""
"Botswana","Algeria","2005","1","1","1","1"
"Botswana","Angola","2005","847","847","847","847"
"Botswana","Burundi","2005","95","95","95","95"
"Botswana","Cambodia","2005","1","1","1","1"
"Botswana","Dem. Rep. of the Congo","2005","161","161","161","161"
"Botswana","Eritrea","2005","7","7","7","7"
"Botswana","Ethiopia","2005","9","9","9","9"
"Botswana","Kenya","2005","8","8","8","8"
"Botswana","Liberia","2005","2","2","2","2"
"Botswana","Morocco","2005","1","1","1","1"
"Botswana","Namibia","2005","1189","1189","1189","1189"
"Botswana","Rwanda","2005","80","80","80","80"
"Botswana","Senegal","2005","1","1","1","1"
"Botswana","Sierra Leone","2005","1","1","1","1"
"Botswana","Somalia","2005","543","543","543","543"
"Botswana","Sudan","2005","29","29","29","29"
"Botswana","Uganda","2005","46","46","46","46"
"Botswana","Zambia","2005","1","1","1","1"
"Botswana","Zimbabwe","2005","87","87","87","87"
"Brazil","Afghanistan","2005","18","1","18","1"
"Brazil","Albania","2005","1","1","1","1"
"Brazil","Algeria","2005","6","1","6","1"
"Brazil","Angola","2005","1751","1113","1751","1113"
"Brazil","Argentina","2005","13","7","13","7"
"Brazil","Armenia","2005","7","3","7","3"
"Brazil","Bosnia and Herzegovina","2005","6","4","6","4"
"Brazil","Burkina Faso","2005","1","","1",""
"Brazil","Burundi","2005","32","31","32","31"
"Brazil","Cabo Verde","2005","1","1","1","1"
"Brazil","Cameroon","2005","7","4","7","4"
"Brazil","Central African Rep.","2005","1","1","1","1"
"Brazil","Chile","2005","21","21","21","21"
"Brazil","Colombia","2005","360","323","360","323"
"Brazil","Congo","2005","6","2","6","2"
"Brazil","Côte d'Ivoire","2005","11","11","11","11"
"Brazil","Croatia","2005","4","2","4","2"
"Brazil","Cuba","2005","103","41","103","41"
"Brazil","Dem. Rep. of the Congo","2005","207","153","207","153"
"Brazil","Dominican Rep.","2005","2","2","2","2"
"Brazil","Ecuador","2005","7","4","7","4"
"Brazil","Egypt","2005","3","1","3","1"
"Brazil","El Salvador","2005","4","3","4","3"
"Brazil","Eritrea","2005","1","1","1","1"
"Brazil","Ethiopia","2005","12","7","12","7"
"Brazil","Gambia","2005","1","1","1","1"
"Brazil","Georgia","2005","9","7","9","7"
"Brazil","Ghana","2005","6","4","6","4"
"Brazil","Guinea","2005","1","1","1","1"
"Brazil","Guinea-Bissau","2005","9","6","9","6"
"Brazil","Haiti","2005","2","2","2","2"
"Brazil","Iraq","2005","93","64","93","64"
"Brazil","Islamic Rep. of Iran","2005","24","7","24","7"
"Brazil","Kuwait","2005","2","2","2","2"
"Brazil","Lebanon","2005","38","2","38","2"
"Brazil","Liberia","2005","261","142","261","142"
"Brazil","Libya","2005","2","2","2","2"
"Brazil","Lithuania","2005","1","1","1","1"
"Brazil","Mali","2005","1","1","1","1"
"Brazil","Mauritania","2005","3","1","3","1"
"Brazil","Morocco","2005","4","2","4","2"
"Brazil","Mozambique","2005","1","1","1","1"
"Brazil","Nicaragua","2005","1","","1",""
"Brazil","Nigeria","2005","25","17","25","17"
"Brazil","Pakistan","2005","10","7","10","7"
"Brazil","Paraguay","2005","7","","7",""
"Brazil","Peru","2005","41","18","41","18"
"Brazil","Poland","2005","1","1","1","1"
"Brazil","Romania","2005","1","","1",""
"Brazil","Russian Federation","2005","6","4","6","4"
"Brazil","Rwanda","2005","19","8","19","8"
"Brazil","Serbia (and Kosovo: S/RES/1244 (1999))","2005","78","26","78","26"
"Brazil","Sierra Leone","2005","135","90","135","90"
"Brazil","Somalia","2005","18","10","18","10"
"Brazil","South Africa","2005","3","","3",""
"Brazil","Sri Lanka","2005","3","1","3","1"
"Brazil","State of Palestine","2005","17","7","17","7"
"Brazil","Sudan","2005","28","20","28","20"
"Brazil","Syrian Arab Rep.","2005","5","1","5","1"
"Brazil","The former Yugoslav Rep. of Macedonia","2005","5","1","5","1"
"Brazil","United Rep. of Tanzania","2005","5","4","5","4"
"Brazil","United States","2005","1","1","1","1"
"Brazil","Uruguay","2005","1","1","1","1"
"Brazil","Viet Nam","2005","4","","4",""
"Brazil","Zimbabwe","2005","1","1","1","1"
"Bulgaria","Afghanistan","2005","1930","","1930",""
"Bulgaria","Albania","2005","10","","10",""
"Bulgaria","Algeria","2005","21","","21",""
"Bulgaria","Angola","2005","5","","5",""
"Bulgaria","Armenia","2005","10","","10",""
"Bulgaria","Azerbaijan","2005","2","","2",""
"Bulgaria","Bangladesh","2005","14","","14",""
"Bulgaria","Belarus","2005","1","","1",""
"Bulgaria","Benin","2005","2","","2",""
"Bulgaria","Bosnia and Herzegovina","2005","35","","35",""
"Bulgaria","Burundi","2005","2","","2",""
"Bulgaria","Cameroon","2005","5","","5",""
"Bulgaria","Congo","2005","23","","23",""
"Bulgaria","Cuba","2005","5","","5",""
"Bulgaria","Dem. Rep. of the Congo","2005","31","","31",""
"Bulgaria","Egypt","2005","2","","2",""
"Bulgaria","Eritrea","2005","7","","7",""
"Bulgaria","Ethiopia","2005","55","","55",""
"Bulgaria","Georgia","2005","2","","2",""
"Bulgaria","Ghana","2005","1","","1",""
"Bulgaria","Guinea","2005","2","","2",""
"Bulgaria","India","2005","2","","2",""
"Bulgaria","Iraq","2005","1171","","1171",""
"Bulgaria","Islamic Rep. of Iran","2005","205","","205",""
"Bulgaria","Jordan","2005","2","","2",""
"Bulgaria","Lebanon","2005","23","","23",""
"Bulgaria","Liberia","2005","12","","12",""
"Bulgaria","Mali","2005","1","","1",""
"Bulgaria","Nepal","2005","2","","2",""
"Bulgaria","Nigeria","2005","10","","10",""
"Bulgaria","Russian Federation","2005","11","","11",""
"Bulgaria","Rwanda","2005","2","","2",""
